ID,Title,Abstract
12,ControlTree: Navigating and Selecting in a Large Tree,"We introduce ControlTree, a novel interface using crossing interaction to navigate and select nodes in a large tree. ControlTree combines an optimized dynamic layout with interaction features to quickly reach a node in a node-link tree representation."
13,Naviguer dans des grands arbres avec ControlTree,"This article presents ControlTree, a relevant technique to select a node is a very large node-link representation using a continuous interaction. The node-link representation is dynamic and driven by the cursor location to optimize screen space and to ease the selections. ControlTree uses a snapping mechanism and adapts the OrthoZoom technique to offer an alternative to common ""point-and-click"" techniques. We also present a preliminary theoretical evaluation showing that ControlTree is a promising technique."
14,Method and system for generating a Columnar Tree Map,"A method and system to generate a columnar tree map of a hierarchical structure is provided. An example system comprises a memory, at least one processor coupled to the memory, a data access module configured to access a hierarchical data structure, and a tree map generator to generate a tree map using at least one processor. The tree map generator generates and renders a tree map for a target data set based on the size and dimensions of a viewing area provided on a target display device, the values associated with categories in the data set, and a predetermined column width."
15,Navigable visualization of a hierarchical data structure,"An example system generates, for a target data set, a navigable space based upon quantitatively-visualized menus. The navigable space is provided within a viewing area on a display device and comprises a stacked bar chart at the left end of a viewing area and, on the right end of the viewing area, a bar graph comprising set of bars. The stacked bar chart is also usable as an actionable menu."
16,GosperMap: Using a Gosper curve for laying out hierarchical data,"The emergence of very large hierarchies that result from the increase in available data raises many problems of visualization and navigation. On data sets of such scale, classical graph drawing methods do not take advantage of certain human cognitive skills such as shape recognition. These cognitive skills could make it easier to remember the global structure of the data. In this paper, we propose a method that is based on the use of nested irregular shapes. We name it GosperMap as we rely on the use of a Gosper Curve to generate these shapes. By employing human perception mechanisms that were developed by handling, for example, cartographic maps, this technique facilitates the visualization and navigation of a hierarchy. An algorithm has been designed to preserve region containment according to the hierarchy and to set the leaves' sizes proportionally to a property, in such a way that the size of nonleaf regions corresponds to the sum of their children's sizes. Moreover, the input ordering of the hierarchy's nodes is preserved, i.e., the areas that represent two consecutive children of a node in the hierarchy are adjacent to one another. This property is especially useful because it guarantees some stability in our algorithm. We illustrate our technique by providing visualization examples of the repartition of tax money in the US over time. Furthermore, we validate the use of the GosperMap in a professional documentation context and show the stability and ease of memorization for this type of map."
17,Visualizing the structure of large trees,"This study introduces a new method of visualizing complex tree structured objects. The usefulness of this method is illustrated in the context of detecting unexpected features in a data set of very large trees. The major contribution is a novel two-dimensional graphical representation of each tree, with a covariate coded by color. The motivating data set contains three dimensional representations of brain artery systems of 105 subjects. Due to inaccuracies inherent in the medical imaging techniques, issues with the reconstruction algo- rithms and inconsistencies introduced by manual adjustment, various discrepancies are present in the data. The proposed representation enables quick visual detection of the most common discrepancies. For our driving example, this tool led to the modification of 10% of the artery trees and deletion of 6.7%. The benefits of our cleaning method are demonstrated through a statistical hypothesis test on the effects of aging on vessel structure. The data cleaning resulted in improved significance levels."
18,Visualizing the Structure of Large Trees,"This study introduces a new method of visualizing complex tree structured objects. The usefulness of this method is illustrated in the context of detecting unexpected features in a data set of very large trees. The major contribution is a novel two-dimensional graphical representation of each tree, with a covariate coded by color. The motivating data set contains three dimensional representations of brain artery systems of 105 subjects. Due to inaccuracies inherent in the medical imaging techniques, issues with the reconstruction algo- rithms and inconsistencies introduced by manual adjustment, various discrepancies are present in the data. The proposed representation enables quick visual detection of the most common discrepancies. For our driving example, this tool led to the modification of 10% of the artery trees and deletion of 6.7%. The benefits of our cleaning method are demonstrated through a statistical hypothesis test on the effects of aging on vessel structure. The data cleaning resulted in improved significance levels."
19,Drawing Phylogenetic Trees,"We present linear-time algorithms for drawing phylogenetic trees in radial and circular representations. In radial drawings given edge lengths (representing evolutionary distances) are preserved, but labels (names of taxons represented in the leaves) need to be adjusted, whereas in circular drawings labels are perfectly spread out, but edge lengths adjusted. Our algorithms produce drawings that are unique solutions to reasonable criteria and assign to each subtree a wedge of its own. The linear running time is particularly interesting in the circular case, because our approach is a special case of Tutte's barycentric layout algorithm involving the solution of a system of linear equations."
20,Tree Drawings on the Hexagonal Grid,"We consider straight-line drawings of trees on a hexagonal grid. The hexagonal grid is an extension of the common grid with inner nodes of degree six. We restrict the number of directions used for the edges from each node to its children from one to five, and to five patterns: straight, Y, psi, X, and full. The psi-drawings generalize hv- or strictly upward drawings to ternary trees. We show that complete ternary trees have a psi-drawing on a square of size and general ternary trees can be drawn within area. Both bounds are optimal. Sub-quadratic bounds are also obtained for X-pattern drawings of complete tetra trees, and for full-pattern drawings of complete penta trees, which are 4-ary and 5-ary trees. These results parallel and complement the ones of Frati for straight-line orthogonal drawings of ternary trees. Moreover, we provide an algorithm for compacted straight-line drawings of penta trees on the hexagonal grid, such that the direction of the edges from a node to its children is given by our patterns and these edges have the same length. However, drawing trees on a hexagonal grid within a prescribed area or with unit length edges is NP-hard."
21,How to draw free trees inside bounded simple polygons,"In this paper we investigate polyline grid drawing of free trees on 2D grids which are bounded by simple polygons. We focus on achieving uniform node distribution while we also try to achieve minimum edge crossings. We do not consider achieving symmetry as a mandatory task, but our algorithm can exploit some symmetries present in both the given trees and the given polygons. To our knowledge, our work is the first attempt for developing algorithms that draw graphs on regions which are bounded by simple polygons."
22,Space-filling Software Visualization,"SeeSys is a system embodying a technique for visualizing statistics associated with code that is divided hierarchically into subsystems, directories and files. This technique can display the relative sizes of the components in the system, the relative stability of the components, the location of new functionality and the location of error-prone code with many bug fixes. Using animation, it can display the historical evolution of the code. Applying this technique, the source code from a multi-million line production software product is visualized."
23,Hierarchy based 3D Visualization of Large Software Structures,Modern object-oriented programs are hierarchical systems with many thousands of interrelated subsystems. Visualization helps developers to better comprehend these large and complex systems. This work presents a three-dimensional visualization technique that represents the static structure of object-oriented software using distributions of three-dimensional objects on a two-dimensional plane. The visual complexity is reduced by adjusting the transparency of object surfaces to the distance of the viewpoint. An approach called Hierarchical Net is proposed for a clear representation of the relationships between the subsystems.
24,Voronoi Treemaps,"Treemaps are a well known method for the visualization of attributed hierarchical data. Previously proposed treemap layout algorithms are limited to rectangular shapes, which cause problems with the aspect ratio of the rectangles as well as with identifying the visualized hierarchical structure. The approach of Voronoi treemaps presented in this paper eliminates these problems through enabling subdivisions of and in polygons. Additionally, this allows for creating treemap visualizations within areas of arbitrary shape, such as triangles and circles, thereby enabling a more flexible adaptation of treemaps for a wider range of applications."
25,PygmyBrowse: A small screen tree browser,"We present PygmyBrowse, a browser that allows users to navigate a tree data structure in a limited amount of display space. A pilot evaluation of PygmyBrowse was conducted, and results suggest that it reduces task completion times and increases user satisfaction over two alternative node-link tree browsers."
26,"A Note on the Historical Development of Logic Diagrams: Leibniz, Euler and Venn",
27,"A generic algorithm for sequential, rectangular, space filling layouts","We present a generic algorithm to sequentially pave a rectangular area with smaller, fixed-surface, rectangles. The parameters of this algorithm are functional, and it covers the full design space considered. This class of layouts is interesting, because it includes all kinds of treemaps involving the placement of rectangles. For instance, Slice and dice, Squarified, Strip and Pivot layouts are obtained through various formulations of two simple chunking and phrasing functions. Some new and potentially interesting layouts which can be generated using our algorithm are introduced, such as spiral treemaps and data dependent variations of known layout strategies."
28,Capturing the Design Space of Sequential Space-Filling Layouts,"We characterize the design space of the algorithms that sequentially tile a rectangular area with smaller, fixed-surface, rectangles. This space consist of five independent dimensions: Order, Size, Score, Recurse and Phrase. Each of these dimensions describe a particular aspect of such layout tasks. This class of layouts is interesting, because, beyond encompassing simple grids, tables and trees, it also includes all kinds of treemaps involving the placement of rectangles. For instance, Slice and dice, Squarified, Strip and Pivot layouts are various points in this five dimensional space. Many classic statistics visualizations, such as 100% stacked bar charts, mosaic plots and dimensional stacking, are also instances of this class. A few new and potentially interesting points in this space are introduced, such as spiral treemaps and variations on the strip layout. The core algorithm is implemented as a JavaScript prototype that can be used as a layout component in a variety of InfoViz toolkits."
29,Cheops: A Compact Explorer For Complex Hierarchies,"As the amount of electronic information explodes, hierarchies to handle this information become huge and complex. Visualizing and interacting with these hierarchies become daunting tasks. The problem is exacerbated if the visualization is to be done on massmarket personal computers, with limited processing power and visual resolution. Many of the current visualization techniques work effectively for hierarchies of 1000 nodes. But as the number of nodes increases toward 5000 nodes, these techniques tend to break down. Hierarchies above 5000 nodes usually require special modifications such as clustering, which can affect visual stability. This paper introduces Cheops, a novel approach to the representation, browsing and exploration of huge, complex information hierarchies such as the Dewey Decimal system, which can contain between 1 million and 1 billion nodes. The Cheops approach maintains context within a huge hierarchy, while simultaneously providing easy access to details. This paper will also present some preliminary results from usability tests performed on an 8 wide by 9 deep classification hierarchy, which if fully populated would contain over 19 million nodes."
30,Generalized Pythagoras Trees for Visualizing Hierarchies,"Pythagoras Trees are fractals that can be used to depict binary hierarchies. But this binary encoding is an obstacle for visualizing hierarchical data such as file systems or phylogenetic trees, which branch into n subhierarchies. Although any hierarchy can be modeled as a binary one by subsequently dividing n-ary branches into a sequence of n-1 binary branches, we follow a different strategy. In our approach extending Pythagoras Trees to arbitrarily branching trees, we only need a single visual element for an n-ary branch instead of spreading the binary branches along a strand. Each vertex in the hierarchy is visualized as a rectangle sized according to a metric. We analyze several visual parameters such as length, width, order, and color of the nodes against the use of different metrics. The usefulness of our technique is illustrated by two case studies visualizing directory structures and a large phylogenetic tree. We compare our approach with existing tree diagrams and discuss questions of geometry, perception, readability, and aesthetics."
31,Generalized Pythagoras Trees: A fractal approach to hierarchy visualization,"Through their recursive definition, many fractals have an inherent hierarchical structure. An example are binary branching Pythagoras Trees. By stopping the recursion in certain branches, a binary hierarchy can be encoded and visualized. But this binary encoding is an obstacle for representing general hierarchical data such as file systems or phylogenetic trees, which usually branch into more than two subhierarchies. We hence extend Pythagoras Trees to arbitrarily branching trees by adapting the geometry of the original fractal approach. Each vertex in the hierarchy is visualized as a rectangle sized according to a metric. We analyze several visual parameters such as length, width, order, and color of the nodes against the use of different metrics. Interactions help to zoom, browse, and filter the hierarchy. The usefulness of our technique is illustrated by two case studies visualizing directory structures and a large phylogenetic tree. We compare our approach with existing tree diagrams and discuss questions of geometry, perception, readability, and aesthetics."
32,PhotoMesa: A Zoomable Image Browser Using Quantum Treemaps and Bubblemaps,"PhotoMesa is a zoomable image browser that uses a novel treemap algorithm to present large numbers of images grouped by directory, or other available metadata. It uses a new interaction technique for zoomable user interfaces designed for novices and family use that makes it straightforward to navigate through the space of images, and impossible to get lost. PhotoMesa groups images using one of two new algorithms that lay out groups of objects in a 2D space-filling manner. Quantum treemaps are designed for laying out images or other objects of indivisible (quantum) size. They are a variation on existing treemap algorithms in that they guarantee that every generated rectangle will have a width and height that are an integral multiple of an input object size. Bubblemaps also fill space with groups of quantum-sized objects, but generate non-rectangular blobs, and utilize space more efficiently."
33,Ordered and quantum treemaps: Making effective use of 2D space to display hierarchies,"Treemaps, a space-filling method for visualizing large hierarchical data sets, are receiving increasing attention. Several algorithms have been previously proposed to create more useful displays by controlling the aspect ratios of the rectangles that make up a treemap. While these algorithms do improve visibility of small items in a single layout, they introduce instability over time in the display of dynamically changing data, fail to preserve order of the underlying data, and create layouts that are difficult to visually search. In addition, continuous treemap algorithms are not suitable for displaying fixed-sized objects within them, such as images.This paper introduces a new ""strip"" treemap algorithm which addresses these shortcomings, and analyzes other ""pivot"" algorithms we recently developed showing the trade-offs between them. These ordered treemap algorithms ensure that items near each other in the given order will be near each other in the treemap layout. Using experimental evidence from Monte Carlo trials and from actual stock market data, we show that, compared to other layout algorithms, ordered treemaps are more stable, while maintaining relatively favorable aspect ratios of the constituent rectangles. A user study with 20 participants clarifies the human performance benefits of the new algorithms. Finally, we present quantum treemap algorithms, which modify the layout of the continuous treemap algorithms to generate rectangles that are integral multiples of an input object size. The quantum treemap algorithm has been applied to PhotoMesa, an application that supports browsing of large numbers of images."
34,"Scalable, Robust Visualization of Very Large Trees","The TreeJuxtaposer system allowed visual comparison of large trees with guaranteed visibility of landmarks and Focus+Context navigation. While that system allowed exploration and comparison of larger datasets than previous work, it was limited to a single tree of 775,000 nodes by a large memory footprint. In this paper, we describe the theoretical limitations to TreeJuxtaposer's architecture that severely restrict its scalability. We provide two scalable, robust solutions to these limitations: TJC and TJC-Q. TJC is a system that supports browsing trees up to 15 million nodes by exploiting leading-edge graphics hardware while TJC-Q allows browsing trees up to 5 million nodes on commodity platforms. Both of these systems use a fast new algorithm for drawing and culling and benefit from a complete redesign of all data structures for more efficient memory usage and reduced preprocessing time."
35,Three-dimensional embedding of binary trees,"We describe total congestion 1 embeddings of complete binary trees into three dimensional grids with expansion ratios 1.172 and 1.25. That is, we give a one-to-one embedding of any complete binary tree into a hexahedron shaped grid such that: the number of nodes in the grid is at most 1.172 (1.25) times the number of nodes in the tree; and no tree nodes or edges occupy the same grid positions. The first strategy embeds trees into cube shaped 3D grids. That is, 3D grids in which all dimensions are roughly equal in size. The second strategy embeds trees into flat 3D grid shapes. That is, it maps complete binary trees into 3D grids with a fixed, small number of layers. An application suggests which embedding to use. For simulations in parallel computer environments, or possibly graph drawing, a cube shaped 3D grid is appropriate. For the sake of VLSI, or other graph drawing applications, embeddings with a small number of layers are better."
36,Embedding a complete binary tree into a three-dimensional grid,"We describe total congestion 1 embeddings of complete binary trees into three dimensional grids with low expansion ratio r. That is, we give a one-to-one embedding of any complete binary tree into a hexahedron shaped grid such that (a) the number of nodes in the grid is at most r times the number of nodes in the tree, and (b) no tree nodes or edges occupy the same grid positions. The first strategy embeds trees into cube shaped 3D grids. That is, 3D grids in which all dimensions are roughly equal in size, and which thus have no limit in the number of layers. The technique uses a recursive scheme, and we obtain an expansion ratio of r=1.09375. We then give strategies which embed trees into flat 3D grid shapes. That is, we map complete binary trees into 3D grids with a fixed, small number of layers k. Using again a recursive scheme, for k=2, we obtain r=1.25. By a rather different technique, which intricately weaves the branches of various subtrees into each other, we are able to obtain very tight embeddings: We have r=1.171875 for embeddings into five layer grids and r=1.09375 for embeddings into seven layer grids."
37,Using Orthographic Projection and Animation to Convey Treemap Structure,"We present an alternative treemap visualization method that maintains the space-filling and area comparison benefits of the standard treemap while improving the range of possible comparisons and the clarity of the hierarchy. Our visualization uses an orthographic stack representation and relies on interaction and animation to reveal the structure of the treemap to the user, but is still effective in a static environment once the user reaches a view that interests them."
38,Method and apparatus for the viewing and exploration of the content of hierarchical information,"A method and system are disclosed for displaying a graphical representation on a display screen of a data processing system in a manner that optimizes screen ""real estate"" and ease of information viewing. The graphical representation may be a tree hierarchy including a plurality of expandable and collapsible nodes. The method begins as the hierarchy is displayed within a primary display window on the display screen when the user selects a node to be expanded . In response, a first display region is output within the primary display window and includes a set of one or more subnodes associated with the selected node. If a first subnode in the first display region is then selected for expansion, a second display region is then output within the first display region, and the second display region in turn includes a set of one or more subnodes of the first subnode. This generation of new ""nested"" display regions then continues as the user continues to explore deeper into the tree hierarchy. A given subnode display region may have one or more controls, such as a sizing button or one or more scroll bars, to facilitate display of node information within the region, and preferably each expanded node remains associated with its subnode display region using a guideline. If generation and display of a subnode display region requires additional screen space, one or more of the subnodes in the ""parent"" display region are re-positioned."
39,Treemaps with Bounded Aspect Ratio,"Treemaps are a popular technique to visualize hierarchical data. The input is a weighted tree T where the weight of each node is the sum of the weights of its children. A treemap for T is a hierarchical partition of a rectangle into simply connected regions, usually rectangles. Each region represents a node of T and its area is proportional to the weight of the corresponding node. An important quality criterion for treemaps is the aspect ratio of its regions. One cannot bound the aspect ratio if the regions are restricted to be rectangles. In contrast, polygonal partitions, that use convex polygons, can have bounded aspect ratio. We are the first to obtain convex partitions with optimal aspect ratio O(depth(T)) . However, depth(T) still depends on the input tree. Hence we introduce a new type of treemaps, namely orthoconvex treemaps, where regions representing leaves are rectangles, L-, and S-shapes, and regions representing internal nodes are orthoconvex polygons. We prove that any input tree, irrespective of the weights of the nodes and the depth of the tree, admits an orthoconvex treemap of constant aspect ratio."
40,Treemaps with Bounded Aspect Ratio,"Treemaps are a popular technique to visualize hierarchical data. The input is a weighted tree $tree$ where the weight of each node is the sum of the weights of its children. A treemap for $tree$ is a hierarchical partition of a rectangle into simply connected regions, usually rectangles. Each region represents a node of $tree$ and the area of each region is proportional to the weight of the corresponding node. An important quality criterium for treemaps is the aspect ratio of its regions. Unfortunately, one cannot bound the aspect ratio if the regions are restricted to be rectangles. Hence Onak and Sidiropoulos in SoCG 2008 introduced polygonal partitions, which use convex polygons. We are the first to obtain convex partitions with optimal aspect ratio $O(depth(tree))$. Furthermore, we consider rectilinear partitions, which retain more of the schematized flavor of standard rectangular treemaps. Our rectilinear treemaps have constant aspect ratio, independent of $depth(tree)$ or the number and weight of the nodes. The leaves of $tree$ are represented by rectangles, L-, and S-shapes and internal nodes by orthoconvex polygons. We also consider the important special case that $depth(tree)=1$, that is, single-level treemaps. We prove that it is strongly NP-hard to minimize the aspect ratio of a rectangular single-level treemap. On the positive side we show how to construct rectilinear and convex single-level treemaps with constant aspect ratio. Our rectilinear single-level treemaps use only rectangles and L-shapes and have aspect ratio at most $2 + 2 3/3$. The convex version uses four different octilinear shapes and has aspect ratio at most 9/2."
41,Convex Treemaps with Bounded Aspect Ratio,"Treemaps are a popular technique to visualize hierarchical data. The input is a weighted tree T where the weight of each node is the sum of the weights of its children. A treemap for T is a hierarchical partition of a rectangle into simply connected regions, usually rectangles. Each region represents a node of T and the area of each region is proportional to the weight of the corresponding node. An important quality criterium for treemaps is the aspect ratio of its regions. Unfortunately, one cannot bound the aspect ratio if the regions are restricted to be rectangles. Hence Onak and Sidiropoulos introduced polygonal partitions, which use convex polygons. We are the first to obtain convex partitions with optimal aspect ratio O(depth(T)). We also consider the important special case that depth(T)=1, that is, single-level treemaps. We show how to construct convex single-level treemaps that use only four simple shapes for the regions and have aspect ratio at most 34/7."
42,Fat Polygonal Partitions with Applications to Visualization and Embeddings,"Let T be a rooted and weighted tree, where the weight of any node is equal to the sum of the weights of its children. The popular Treemap algorithm visualizes such a tree as a hierarchical partition of a square into rectangles, where the area of the rectangle corresponding to any node in T is equal to the weight of that node. The aspect ratio of the rectangles in such a rectangular partition necessarily depends on the weights and can become arbitrarily high. We introduce a new hierarchical partition scheme, called a polygonal partition, which uses convex polygons rather than just rectangles. We present two methods for constructing polygonal partitions, both having guarantees on the worst-case aspect ratio of the constructed polygons; in particular, both methods guarantee a bound on the aspect ratio that is independent of the weights of the nodes. We also consider rectangular partitions with slack, where the areas of the rectangles may differ slightly from the weights of the corresponding nodes. We show that this makes it possible to obtain partitions with constant aspect ratio. This result generalizes to hyper-rectangular partitions in $R^d$. We use these partitions with slack for embedding ultrametrics into d-dimensional Euclidean space: we give a polylog(delta)-approximation algorithm for embedding n-point ultrametrics into $R^d$ with minimum distortion, where delta denotes the spread of the metric. The previously best-known approximation ratio for this problem was polynomial in n. This is the first algorithm for embedding a non-trivial family of weighted-graph metrics into a space of constant dimension that achieves polylogarithmic approximation ratio."
43,Visualizing Gene Expression Data via Voronoi Treemaps,We investigate the use of Voronoi Treemaps to visualize complex biological data from gene expression analysis in conjunction with hierarchical classifications like Gene Ontology or KEGG Orthology.
44,xps -- Dynamic Process Tree Watching Under X,"The xps program dynamically displays the Unix processes as a tree or forest in an X Window, the roots on the left and the leaf processes (those with no children) on the right. The status of each process running, sleeping, stopped, etc., can be indicated by different colors. Different users can appear as different colors too. Process selection can be made per user, all users, or through a regular-expression pattern. In contrast to the terminal-based pstree or tree-widget based programs, the tree display uses diagonal lines, and effort is made to effectively use the full 2-dimensional area of the screen by balancing levels and centering the children of a node between their parent. A goal of the program is to give an idea of what's going on graphically as things may be constantly changing. Therefore the display algorithm tries to keep processes close to their parents to reduce the amount of scrolling to see localized process creation and destruction. Some effort is also given to make sure that the tree layout doesn't get wildly reorganized when there are small or localized changes. This makes it easier for the eye to pick up and recognize the changes over a potentially large display area. We describe here criteria for tree animations such as this one and how the xps layout algorithm works. There are some other miscellaneous features of xps. One can select viewing the processes by a single user, a regular expression for users, by all users, and perhaps show kernel processes. One can click on a process to get more information (via ps or a user-specified program) about that process, send a signal, or set the process priority, assuming you have the permission to do so. Since programs of this ilk can consume a bit of CPU on their own, some effort has been made to turn off the update process when the program is iconified or not visible for some other reason such as being obscured by another window. Some attention has been paid to make algorithm display fairly fast in most situations, although it has to be admitted that this comes sometimes at the expense of a nicer layout."
45,"Semiologie graphique. Les diagrammes, les reseaux, les cartes","Jacques Bertin a joue un role majeur dans l'evolution des conceptions graphiques et cartographiques. Semiologie graphique est l'un de ses ouvrages incontournables, plusieurs fois reedite et traduit en anglais. Cette nouvelle edition propose une carte hors texte offrant une vision saisissante du relief de la France. Elle comporte egalement des mises au point originales de Jacques Bertin et constitue une synthese de ses demarches. Semiologie graphique apporte une reponse objective aux deux questions suivantes: dans quel cas faut-il faire un dessin? Quel dessin faut-il faire? La semiologie graphique remplace l'inventaire classique des formules graphiques par une analyse des moyens et des buts et par un ensemble de regles imperatives qui commandent la redaction graphique, c'est-a-dire le choix des correspondances entre les sensibilites visuelles disponibles et les elements de l'information."
46,Graphics and Graphic Information Processing,
47,"Semiology of graphics: Diagrams, networks, maps","Originally published in French in 1967, Semiology of Graphics is internationally recognized as a foundational work in the fields of design and cartography. Based on Jacques Bertin's practical experience as a cartographer, part one of this work is an unprecedented attempt to synthesize principles of graphic communication with the logic of standard rules applied to writing and topography. Part two brings Bertin's theory to life, presenting a close study of graphic techniques, including shape, orientation, color, texture, volume, and size, in an array of more than 1,000 maps and diagrams. Now, with a new epilogue written by the author shortly before his death, this new 2010 edition in English reawakens us to the information design possibilities of modern technology. Jacques Bertin was a French cartographer and theorist, and a world renowned authority on the subject of information visualization. In 1954, he founded the Cartographic Laboratory of the Ecole Pratique des Hautes Etudes, and in 1957 he was named director of education. In 1967, Bertin became a professor at the Sorbonne, and in 1974 he was appointed director of education and director of the Geographical Laboratory of the Ecole des Hautes Etudes en Sciences Sociales. In the late 1970s, he became head of research at the Centre National de la Recherche Scientifique."
48,Improving Layout Quality by Mixing Treemap-Layouts Based on Data-Change Characteristics,"This paper presents a hybrid treemap layout approach that optimizes layout-quality metrics by combining state-of-the-art treemap layout algorithms. It utilizes machine learning to predict those metrics based on data metrics describing the characteristics and changes of the dataset. For this, the proposed approach uses a neural network which is trained on artificially generated dataset,s containing a total of 15.8 million samples. The resulting model is integrated into an approach called Smart- Layouting. This approach is evaluated on real-world data from 100 publicly available software repositories. Compared to other state-of-the-art treemap algorithms it reaches an overall better result. Additionally, this approach can be customized by an end user's needs. The customization allows for specifying weights for the importance of each layout-quality metric. The results indicate, that the algorithm is able to adapt successfully towards a given set of weights."
